gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
MED27,4.7348093864375,4.754920790611111,-0.020111404173611014,0.8134024415994515,0.9027430934086351,0.044435825533085456,not_significant
USH1C,2.336735697541666,2.3438046457222224,-0.007068948180556145,0.8140348063070292,0.903398827282019,0.04412047753959973,not_significant
EMX2,5.6076499158125,5.5462968765000005,0.06135303931249947,0.8141615456447744,0.9034685942969163,0.04408693946232639,not_significant
COLGALT2,4.4735302065937494,4.503546003166666,-0.030015796572916642,0.8141807304615511,0.9034685942969163,0.04408693946232639,not_significant
CCDC85A,4.515155936718751,4.482124825833334,0.03303111088541666,0.8143805486120925,0.9036442331457755,0.04400251863154128,not_significant
LTF,2.4106708794999996,2.441430727,-0.030759847500000603,0.8159124632375474,0.9052978853334442,0.04320849408779392,not_significant
UBBP2,2.3571284614375,2.367019002166667,-0.00989054072916673,0.8159792061964939,0.9053257665649084,0.04319511895601344,not_significant
C8orf82,7.3209933381875,7.266558464666667,0.054434873520833094,0.8162555963927164,0.9055862358877835,0.043070186998793406,not_significant
SKIV2L,5.808109065875,5.7619342465,0.046174819374999565,0.8167134051506203,0.9060479413080951,0.042848822086195254,not_significant
FNDC9,2.3350000715,2.3211079133333334,0.013892158166666668,0.8174790965739039,0.9068511420103655,0.04246399575042131,not_significant
STARD6,2.286139046375,2.2810867795,0.005052266875000377,0.8183586570413262,0.9077342876629813,0.04204125972746059,not_significant
CSTF2T,7.577849743968749,7.623585840166666,-0.045736096197916964,0.818348582705631,0.9077342876629813,0.04204125972746059,not_significant
LSM3,6.847406039343751,6.836270326916668,0.011135712427083,0.818755159509263,0.9081277911249117,0.041853033554561575,not_significant
NFASC,3.242007224890625,3.256980577291667,-0.014973352401042028,0.8199682217512796,0.9094269010552682,0.0412322034110227,not_significant
DICER1-AS1,3.97382394884375,3.9990907805,-0.025266831656249877,0.8200197229525148,0.9094376566492638,0.04122706713509481,not_significant
TMEM268,4.0273955390000005,4.081333013333333,-0.05393747433333296,0.820235567896076,0.909630666237403,0.04113490677108517,not_significant
INHBA-AS1,2.26666222775,2.2680877792499996,-0.0014255514999996777,0.8208938961795816,0.9102679398229675,0.04083075310882737,not_significant
PLOD1,8.0861717626875,8.10485881,-0.018687047312500482,0.8208630579246092,0.9102679398229675,0.04083075310882737,not_significant
TTC19,8.8882899625,8.911635572666667,-0.023345610166666475,0.8210731226067746,0.9104202743277462,0.04075807945227372,not_significant
SLC39A7,5.3367100659375,5.3589384675,-0.022228401562499833,0.8212055924611767,0.910520751439422,0.040710151864740474,not_significant
CDS1,2.276279993765625,2.2796663035416667,-0.003386309776041596,0.821320537835764,0.9106017888399269,0.040671500873264745,not_significant
FSTL3,2.6131101659375,2.6021744059999996,0.0109357599375004,0.8214602292312296,0.9106767539048888,0.04063574916005588,not_significant
TJP1,8.501920919125,8.544143901,-0.04222298187499973,0.8214718739889468,0.9106767539048888,0.04063574916005588,not_significant
CSF3R,4.02257322459375,4.0628594837500005,-0.04028625915625028,0.8215490908709433,0.9107159476126049,0.040617058395593195,not_significant
RBP3,2.30457708975,2.2954247113333333,0.009152378416666718,0.8218378092570924,0.9109211827857834,0.04051919861650369,not_significant
ZNF625,2.3220338813125,2.3332852386666665,-0.01125135735416638,0.8217839469970384,0.9109211827857834,0.04051919861650369,not_significant
AIFM2,4.69154944628125,4.727616852833333,-0.03606740655208274,0.8218598471946382,0.9109211827857834,0.04051919861650369,not_significant
C16orf62,5.04257287275,5.062946644833333,-0.020373772083332575,0.8219604152129121,0.9109862363318,0.04048818453117883,not_significant
WBSCR27,2.2677861193125,2.270211264333333,-0.0024251450208332415,0.8222070312465274,0.9111667243017779,0.04040214902114081,not_significant
LINC00424,2.41563680396875,2.4287261161666667,-0.013089312197916758,0.8221789847785319,0.9111667243017779,0.04040214902114081,not_significant
VEZT,8.080295750562499,8.058539305541666,0.021756445020832516,0.822414225055125,0.9113499116785985,0.04031484417507819,not_significant
GRPR,2.3512999745625,2.3731102025,-0.02181022793749987,0.8225680126822384,0.9114739018948759,0.04025576192431831,not_significant
SLITRK6,2.3602846794375,2.3732247121111105,-0.012940032673610435,0.8230706311239034,0.9119843934043251,0.04001259359743534,not_significant
LOC101928833,2.282166917375,2.2895412796666665,-0.007374362291666436,0.8231132269017648,0.9119851413928136,0.040012237399300585,not_significant
FZD5,4.3041091258125,4.26535107425,0.03875805156250056,0.8231841739702954,0.9120173000979719,0.03999692344151287,not_significant
